Date : 2023-11-01 21:41:12
Directory : c:\Users\DeRep\my_app\Frontend
Total : 109 files,  6563 codes, 902 comments, 937 blanks, all 8402 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| macos                                                                                                |          5 |        438 |          2 |         12 |        452 |
| macos\Runner                                                                                         |          4 |        431 |          0 |          8 |        439 |
| macos\Runner (Files)                                                                                 |          2 |         20 |          0 |          6 |         26 |
| macos\RunnerTests                                                                                    |          1 |          7 |          2 |          4 |         13 |
| macos\Runner\Assets.xcassets                                                                         |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                                      |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                                                              |          1 |        343 |          0 |          1 |        344 |
| test                                                                                                 |          1 |         14 |         10 |          7 |         31 |
| web                                                                                                  |          2 |         73 |         16 |          7 |         96 |
| windows                                                                                              |         39 |      1,785 |        356 |        368 |      2,509 |
| windows (Files)                                                                                      |          3 |         29 |         82 |         26 |        137 |
| windows\ios                                                                                          |          8 |        229 |          4 |         13 |        246 |
| windows\ios\Runner                                                                                   |          7 |        222 |          2 |          9 |        233 |
| windows\ios\Runner (Files)                                                                           |          2 |         13 |          0 |          3 |         16 |
| windows\ios\RunnerTests                                                                              |          1 |          7 |          2 |          4 |         13 |
| windows\ios\Runner\Assets.xcassets                                                                   |          3 |        148 |          0 |          4 |        152 |
| windows\ios\Runner\Assets.xcassets\AppIcon.appiconset                                                |          1 |        122 |          0 |          1 |        123 |
| windows\ios\Runner\Assets.xcassets\LaunchImage.imageset                                              |          2 |         26 |          0 |          3 |         29 |
| windows\ios\Runner\Base.lproj                                                                        |          2 |         61 |          2 |          2 |         65 |
| windows\lib                                                                                          |          1 |         60 |         54 |         12 |        126 |
| windows\linux                                                                                        |          3 |         86 |         18 |         27 |        131 |
| windows\macos                                                                                        |          5 |        438 |          2 |         12 |        452 |
| windows\macos\Runner                                                                                 |          4 |        431 |          0 |          8 |        439 |
| windows\macos\Runner (Files)                                                                         |          2 |         20 |          0 |          6 |         26 |
| windows\macos\RunnerTests                                                                            |          1 |          7 |          2 |          4 |         13 |
| windows\macos\Runner\Assets.xcassets                                                                 |          1 |         68 |          0 |          1 |         69 |
| windows\macos\Runner\Assets.xcassets\AppIcon.appiconset                                              |          1 |         68 |          0 |          1 |         69 |
| windows\macos\Runner\Base.lproj                                                                      |          1 |        343 |          0 |          1 |        344 |
| windows\runner                                                                                       |          8 |        428 |         85 |        132 |        645 |
| windows\test                                                                                         |          1 |         14 |         10 |          7 |         31 |
| windows\web                                                                                          |          2 |         73 |         16 |          7 |         96 |
| windows\windows                                                                                      |          8 |        428 |         85 |        132 |        645 |
| windows\windows\runner                                                                               |          8 |        428 |         85 |        132 |        645 |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                             | language | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Users\DeRep\my_app\Frontend\analysis_options.yaml                                                 | YAML     |          3 |         23 |          4 |         30 |
| c:\Users\DeRep\my_app\Frontend\ios\RunnerTests\RunnerTests.swift                                     | Swift    |          7 |          2 |          4 |         13 |
| c:\Users\DeRep\my_app\Frontend\ios\Runner\AppDelegate.swift                                          | Swift    |         12 |          0 |          2 |         14 |
| c:\Users\DeRep\my_app\Frontend\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json           | JSON     |        122 |          0 |          1 |        123 |
| c:\Users\DeRep\my_app\Frontend\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json         | JSON     |         23 |          0 |          1 |         24 |
| c:\Users\DeRep\my_app\Frontend\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md             | Markdown |          3 |          0 |          2 |          5 |
| c:\Users\DeRep\my_app\Frontend\ios\Runner\Base.lproj\LaunchScreen.storyboard                         | XML      |         36 |          1 |          1 |         38 |
| c:\Users\DeRep\my_app\Frontend\ios\Runner\Base.lproj\Main.storyboard                                 | XML      |         25 |          1 |          1 |         27 |
| c:\Users\DeRep\my_app\Frontend\ios\Runner\Runner-Bridging-Header.h                                   | C++      |          1 |          0 |          1 |          2 |
| c:\Users\DeRep\my_app\Frontend\lib\main.dart                                                         | Dart     |         63 |          5 |          9 |         77 |
| c:\Users\DeRep\my_app\Frontend\lib\src\AuthConnect.dart                                              | Dart     |         43 |         35 |         31 |        109 |
| c:\Users\DeRep\my_app\Frontend\lib\src\AuthResponse+.dart                                            | Dart     |         10 |          0 |          2 |         12 |
| c:\Users\DeRep\my_app\Frontend\lib\src\Data\HorariosData.dart                                        | Dart     |         18 |          1 |          5 |         24 |
| c:\Users\DeRep\my_app\Frontend\lib\src\Data\UsersData.dart                                           | Dart     |         19 |          2 |         11 |         32 |
| c:\Users\DeRep\my_app\Frontend\lib\src\Models\HorariosModel.dart                                     | Dart     |         47 |          0 |          4 |         51 |
| c:\Users\DeRep\my_app\Frontend\lib\src\Models\Response.dart                                          | Dart     |         26 |          0 |          8 |         34 |
| c:\Users\DeRep\my_app\Frontend\lib\src\Models\UsersDTO.dart                                          | Dart     |         22 |          0 |          4 |         26 |
| c:\Users\DeRep\my_app\Frontend\lib\src\Models\UsersModel.dart                                        | Dart     |         49 |          0 |          4 |         53 |
| c:\Users\DeRep\my_app\Frontend\lib\src\Providers\Provider_Ubications.dart                            | Dart     |         75 |          4 |         16 |         95 |
| c:\Users\DeRep\my_app\Frontend\lib\src\Screens\Home.dart                                             | Dart     |         82 |          6 |         12 |        100 |
| c:\Users\DeRep\my_app\Frontend\lib\src\Screens\Horarios.dart                                         | Dart     |          0 |         84 |          9 |         93 |
| c:\Users\DeRep\my_app\Frontend\lib\src\Screens\Login.dart                                            | Dart     |         97 |          2 |          5 |        104 |
| c:\Users\DeRep\my_app\Frontend\lib\src\Screens\LoginErrorScreen.dart                                 | Dart     |        128 |          0 |          4 |        132 |
| c:\Users\DeRep\my_app\Frontend\lib\src\Screens\Operador.dart                                         | Dart     |         97 |          5 |          9 |        111 |
| c:\Users\DeRep\my_app\Frontend\lib\src\Screens\OperadorCursos.dart                                   | Dart     |        236 |          3 |         29 |        268 |
| c:\Users\DeRep\my_app\Frontend\lib\src\Screens\OperadorHorarios.dart                                 | Dart     |        388 |         20 |         22 |        430 |
| c:\Users\DeRep\my_app\Frontend\lib\src\Screens\OperadorMenuUbicaciones.dart                          | Dart     |         70 |          5 |          7 |         82 |
| c:\Users\DeRep\my_app\Frontend\lib\src\Screens\OperadorOpciones.dart                                 | Dart     |         88 |          6 |          7 |        101 |
| c:\Users\DeRep\my_app\Frontend\lib\src\Screens\OperadorUbicacionesEdit.dart                          | Dart     |         85 |          2 |          7 |         94 |
| c:\Users\DeRep\my_app\Frontend\lib\src\Screens\OperadorUsuarios.dart                                 | Dart     |        342 |          6 |         19 |        367 |
| c:\Users\DeRep\my_app\Frontend\lib\src\Screens\PantallaPrincipal.dart                                | Dart     |         64 |          5 |          7 |         76 |
| c:\Users\DeRep\my_app\Frontend\lib\src\Screens\Schedule.dart                                         | Dart     |        192 |          2 |          7 |        201 |
| c:\Users\DeRep\my_app\Frontend\lib\src\Screens\Ubications.dart                                       | Dart     |        183 |          2 |          7 |        192 |
| c:\Users\DeRep\my_app\Frontend\lib\src\Widgets\Box.dart                                              | Dart     |         27 |          1 |          7 |         35 |
| c:\Users\DeRep\my_app\Frontend\lib\src\Widgets\Button.dart                                           | Dart     |         26 |          3 |          5 |         34 |
| c:\Users\DeRep\my_app\Frontend\lib\src\Widgets\CheckBox.dart                                         | Dart     |         26 |          0 |          6 |         32 |
| c:\Users\DeRep\my_app\Frontend\lib\src\Widgets\Connect.dart                                          | Dart     |         31 |         13 |         14 |         58 |
| c:\Users\DeRep\my_app\Frontend\lib\src\Widgets\FormLogin.dart                                        | Dart     |        113 |          0 |          6 |        119 |
| c:\Users\DeRep\my_app\Frontend\lib\src\Widgets\GridNavigation.dart                                   | Dart     |         22 |          0 |          3 |         25 |
| c:\Users\DeRep\my_app\Frontend\lib\src\Widgets\Header\Clock.dart                                     | Dart     |         64 |          1 |         18 |         83 |
| c:\Users\DeRep\my_app\Frontend\lib\src\Widgets\Header\header.dart                                    | Dart     |         59 |         66 |         21 |        146 |
| c:\Users\DeRep\my_app\Frontend\lib\src\Widgets\Items.dart                                            | Dart     |         29 |          0 |         10 |         39 |
| c:\Users\DeRep\my_app\Frontend\lib\src\Widgets\Items\DropDownSelect.dart                             | Dart     |         52 |          1 |         10 |         63 |
| c:\Users\DeRep\my_app\Frontend\lib\src\Widgets\Items\FieldRounded.dart                               | Dart     |         44 |          2 |          6 |         52 |
| c:\Users\DeRep\my_app\Frontend\lib\src\Widgets\Layout.dart                                           | Dart     |         19 |          1 |          6 |         26 |
| c:\Users\DeRep\my_app\Frontend\lib\src\Widgets\LeftCards\Calendar.dart                               | Dart     |         64 |          1 |          5 |         70 |
| c:\Users\DeRep\my_app\Frontend\lib\src\Widgets\LeftCards\CalendarOperador.dart                       | Dart     |         65 |          1 |          5 |         71 |
| c:\Users\DeRep\my_app\Frontend\lib\src\Widgets\LeftCards\Cards.dart                                  | Dart     |         26 |          1 |          4 |         31 |
| c:\Users\DeRep\my_app\Frontend\lib\src\Widgets\LeftCards\CardsOperador.dart                          | Dart     |         26 |          1 |          4 |         31 |
| c:\Users\DeRep\my_app\Frontend\lib\src\Widgets\LeftCards\HorarioCards.dart                           | Dart     |         80 |         37 |         26 |        143 |
| c:\Users\DeRep\my_app\Frontend\lib\src\Widgets\LeftCards\ListaMaterias.dart                          | Dart     |         83 |         43 |         23 |        149 |
| c:\Users\DeRep\my_app\Frontend\lib\src\Widgets\LeftCards\SearchFilterHorarios.dart                   | Dart     |        160 |         22 |          7 |        189 |
| c:\Users\DeRep\my_app\Frontend\lib\src\Widgets\LeftCards\SearchFilterUsuarios.dart                   | Dart     |        116 |         22 |          7 |        145 |
| c:\Users\DeRep\my_app\Frontend\lib\src\Widgets\LeftCards\UbicationsPanel.dart                        | Dart     |        176 |          2 |         11 |        189 |
| c:\Users\DeRep\my_app\Frontend\lib\src\Widgets\LeftCards\Weather.dart                                | Dart     |         15 |          0 |          3 |         18 |
| c:\Users\DeRep\my_app\Frontend\lib\src\Widgets\OptionBox.dart                                        | Dart     |         53 |          1 |          5 |         59 |
| c:\Users\DeRep\my_app\Frontend\lib\src\Widgets\PanelEditor.dart                                      | Dart     |         78 |          0 |         19 |         97 |
| c:\Users\DeRep\my_app\Frontend\lib\src\Widgets\TablaData.dart                                        | Dart     |          0 |          0 |          1 |          1 |
| c:\Users\DeRep\my_app\Frontend\linux\main.cc                                                         | C++      |          5 |          0 |          2 |          7 |
| c:\Users\DeRep\my_app\Frontend\linux\my_application.cc                                               | C++      |         74 |         11 |         20 |        105 |
| c:\Users\DeRep\my_app\Frontend\linux\my_application.h                                                | C++      |          7 |          7 |          5 |         19 |
| c:\Users\DeRep\my_app\Frontend\macos\RunnerTests\RunnerTests.swift                                   | Swift    |          7 |          2 |          4 |         13 |
| c:\Users\DeRep\my_app\Frontend\macos\Runner\AppDelegate.swift                                        | Swift    |          8 |          0 |          2 |         10 |
| c:\Users\DeRep\my_app\Frontend\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json         | JSON     |         68 |          0 |          1 |         69 |
| c:\Users\DeRep\my_app\Frontend\macos\Runner\Base.lproj\MainMenu.xib                                  | XML      |        343 |          0 |          1 |        344 |
| c:\Users\DeRep\my_app\Frontend\macos\Runner\MainFlutterWindow.swift                                  | Swift    |         12 |          0 |          4 |         16 |
| c:\Users\DeRep\my_app\Frontend\pubspec.yaml                                                          | YAML     |         57 |         59 |         22 |        138 |
| c:\Users\DeRep\my_app\Frontend\test\widget_test.dart                                                 | Dart     |         14 |         10 |          7 |         31 |
| c:\Users\DeRep\my_app\Frontend\web\index.html                                                        | HTML     |         38 |         16 |          6 |         60 |
| c:\Users\DeRep\my_app\Frontend\web\manifest.json                                                     | JSON     |         35 |          0 |          1 |         36 |
| c:\Users\DeRep\my_app\Frontend\windows\README.md                                                     | Markdown |         10 |          0 |          7 |         17 |
| c:\Users\DeRep\my_app\Frontend\windows\analysis_options.yaml                                         | YAML     |          3 |         22 |          4 |         29 |
| c:\Users\DeRep\my_app\Frontend\windows\ios\RunnerTests\RunnerTests.swift                             | Swift    |          7 |          2 |          4 |         13 |
| c:\Users\DeRep\my_app\Frontend\windows\ios\Runner\AppDelegate.swift                                  | Swift    |         12 |          0 |          2 |         14 |
| c:\Users\DeRep\my_app\Frontend\windows\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json   | JSON     |        122 |          0 |          1 |        123 |
| c:\Users\DeRep\my_app\Frontend\windows\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json | JSON     |         23 |          0 |          1 |         24 |
| c:\Users\DeRep\my_app\Frontend\windows\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md     | Markdown |          3 |          0 |          2 |          5 |
| c:\Users\DeRep\my_app\Frontend\windows\ios\Runner\Base.lproj\LaunchScreen.storyboard                 | XML      |         36 |          1 |          1 |         38 |
| c:\Users\DeRep\my_app\Frontend\windows\ios\Runner\Base.lproj\Main.storyboard                         | XML      |         25 |          1 |          1 |         27 |
| c:\Users\DeRep\my_app\Frontend\windows\ios\Runner\Runner-Bridging-Header.h                           | C++      |          1 |          0 |          1 |          2 |
| c:\Users\DeRep\my_app\Frontend\windows\lib\main.dart                                                 | Dart     |         60 |         54 |         12 |        126 |
| c:\Users\DeRep\my_app\Frontend\windows\linux\main.cc                                                 | C++      |          5 |          0 |          2 |          7 |
| c:\Users\DeRep\my_app\Frontend\windows\linux\my_application.cc                                       | C++      |         74 |         11 |         20 |        105 |
| c:\Users\DeRep\my_app\Frontend\windows\linux\my_application.h                                        | C++      |          7 |          7 |          5 |         19 |
| c:\Users\DeRep\my_app\Frontend\windows\macos\RunnerTests\RunnerTests.swift                           | Swift    |          7 |          2 |          4 |         13 |
| c:\Users\DeRep\my_app\Frontend\windows\macos\Runner\AppDelegate.swift                                | Swift    |          8 |          0 |          2 |         10 |
| c:\Users\DeRep\my_app\Frontend\windows\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json | JSON     |         68 |          0 |          1 |         69 |
| c:\Users\DeRep\my_app\Frontend\windows\macos\Runner\Base.lproj\MainMenu.xib                          | XML      |        343 |          0 |          1 |        344 |
| c:\Users\DeRep\my_app\Frontend\windows\macos\Runner\MainFlutterWindow.swift                          | Swift    |         12 |          0 |          4 |         16 |
| c:\Users\DeRep\my_app\Frontend\windows\pubspec.yaml                                                  | YAML     |         16 |         60 |         15 |         91 |
| c:\Users\DeRep\my_app\Frontend\windows\runner\flutter_window.cpp                                     | C++      |         49 |          7 |         16 |         72 |
| c:\Users\DeRep\my_app\Frontend\windows\runner\flutter_window.h                                       | C++      |         20 |          5 |          9 |         34 |
| c:\Users\DeRep\my_app\Frontend\windows\runner\main.cpp                                               | C++      |         30 |          4 |         10 |         44 |
| c:\Users\DeRep\my_app\Frontend\windows\runner\resource.h                                             | C++      |          9 |          6 |          2 |         17 |
| c:\Users\DeRep\my_app\Frontend\windows\runner\utils.cpp                                              | C++      |         54 |          2 |         10 |         66 |
| c:\Users\DeRep\my_app\Frontend\windows\runner\utils.h                                                | C++      |          8 |          6 |          6 |         20 |
| c:\Users\DeRep\my_app\Frontend\windows\runner\win32_window.cpp                                       | C++      |        210 |         24 |         55 |        289 |
| c:\Users\DeRep\my_app\Frontend\windows\runner\win32_window.h                                         | C++      |         48 |         31 |         24 |        103 |
| c:\Users\DeRep\my_app\Frontend\windows\test\widget_test.dart                                         | Dart     |         14 |         10 |          7 |         31 |
| c:\Users\DeRep\my_app\Frontend\windows\web\index.html                                                | HTML     |         38 |         16 |          6 |         60 |
| c:\Users\DeRep\my_app\Frontend\windows\web\manifest.json                                             | JSON     |         35 |          0 |          1 |         36 |
| c:\Users\DeRep\my_app\Frontend\windows\windows\runner\flutter_window.cpp                             | C++      |         49 |          7 |         16 |         72 |
| c:\Users\DeRep\my_app\Frontend\windows\windows\runner\flutter_window.h                               | C++      |         20 |          5 |          9 |         34 |
| c:\Users\DeRep\my_app\Frontend\windows\windows\runner\main.cpp                                       | C++      |         30 |          4 |         10 |         44 |
| c:\Users\DeRep\my_app\Frontend\windows\windows\runner\resource.h                                     | C++      |          9 |          6 |          2 |         17 |
| c:\Users\DeRep\my_app\Frontend\windows\windows\runner\utils.cpp                                      | C++      |         54 |          2 |         10 |         66 |
| c:\Users\DeRep\my_app\Frontend\windows\windows\runner\utils.h                                        | C++      |          8 |          6 |          6 |         20 |
| c:\Users\DeRep\my_app\Frontend\windows\windows\runner\win32_window.cpp                               | C++      |        210 |         24 |         55 |        289 |
| c:\Users\DeRep\my_app\Frontend\windows\windows\runner\win32_window.h                                 | C++      |         48 |         31 |         24 |        103 |
| Total                                                                                                |          |      6,563 |        902 |        937 |      8,402 |
+------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
