Date : 2023-11-01 21:41:12
Directory : c:\Users\DeRep\my_app\Frontend
Total : 60 files,  2685 codes, 488 comments, 460 blanks, all 3633 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                                      |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                                                              |          1 |        343 |          0 |          1 |        344 |
| test                                                                                                 |          1 |         14 |         10 |          7 |         31 |
| web                                                                                                  |          2 |         73 |         16 |          7 |         96 |
| windows                                                                                              |         39 |      1,785 |        356 |        368 |      2,509 |
| windows (Files)                                                                                      |          3 |         29 |         82 |         26 |        137 |
| windows\ios                                                                                          |          8 |        229 |          4 |         13 |        246 |
| windows\ios\Runner                                                                                   |          7 |        222 |          2 |          9 |        233 |
| windows\ios\Runner (Files)                                                                           |          2 |         13 |          0 |          3 |         16 |
| windows\ios\RunnerTests                                                                              |          1 |          7 |          2 |          4 |         13 |
| windows\ios\Runner\Assets.xcassets                                                                   |          3 |        148 |          0 |          4 |        152 |
| windows\ios\Runner\Assets.xcassets\AppIcon.appiconset                                                |          1 |        122 |          0 |          1 |        123 |
| windows\ios\Runner\Assets.xcassets\LaunchImage.imageset                                              |          2 |         26 |          0 |          3 |         29 |
| windows\ios\Runner\Base.lproj                                                                        |          2 |         61 |          2 |          2 |         65 |
| windows\lib                                                                                          |          1 |         60 |         54 |         12 |        126 |
| windows\linux                                                                                        |          3 |         86 |         18 |         27 |        131 |
| windows\macos                                                                                        |          5 |        438 |          2 |         12 |        452 |
| windows\macos\Runner                                                                                 |          4 |        431 |          0 |          8 |        439 |
| windows\macos\Runner (Files)                                                                         |          2 |         20 |          0 |          6 |         26 |
| windows\macos\RunnerTests                                                                            |          1 |          7 |          2 |          4 |         13 |
| windows\macos\Runner\Assets.xcassets                                                                 |          1 |         68 |          0 |          1 |         69 |
| windows\macos\Runner\Assets.xcassets\AppIcon.appiconset                                              |          1 |         68 |          0 |          1 |         69 |
| windows\macos\Runner\Base.lproj                                                                      |          1 |        343 |          0 |          1 |        344 |
| windows\runner                                                                                       |          8 |        428 |         85 |        132 |        645 |
| windows\test                                                                                         |          1 |         14 |         10 |          7 |         31 |
| windows\web                                                                                          |          2 |         73 |         16 |          7 |         96 |
| windows\windows                                                                                      |          8 |        428 |         85 |        132 |        645 |
| windows\windows\runner                                                                               |          8 |        428 |         85 |        132 |        645 |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                             | language | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Users\DeRep\my_app\Frontend\analysis_options.yaml                                                 | YAML     |          3 |         23 |          4 |         30 |
| c:\Users\DeRep\my_app\Frontend\ios\RunnerTests\RunnerTests.swift                                     | Swift    |          7 |          2 |          4 |         13 |
| c:\Users\DeRep\my_app\Frontend\ios\Runner\AppDelegate.swift                                          | Swift    |         12 |          0 |          2 |         14 |
| c:\Users\DeRep\my_app\Frontend\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json           | JSON     |        122 |          0 |          1 |        123 |
| c:\Users\DeRep\my_app\Frontend\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json         | JSON     |         23 |          0 |          1 |         24 |
| c:\Users\DeRep\my_app\Frontend\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md             | Markdown |          3 |          0 |          2 |          5 |
| c:\Users\DeRep\my_app\Frontend\ios\Runner\Base.lproj\LaunchScreen.storyboard                         | XML      |         36 |          1 |          1 |         38 |
| c:\Users\DeRep\my_app\Frontend\ios\Runner\Base.lproj\Main.storyboard                                 | XML      |         25 |          1 |          1 |         27 |
| c:\Users\DeRep\my_app\Frontend\ios\Runner\Runner-Bridging-Header.h                                   | C++      |          1 |          0 |          1 |          2 |
| c:\Users\DeRep\my_app\Frontend\linux\main.cc                                                         | C++      |          5 |          0 |          2 |          7 |
| c:\Users\DeRep\my_app\Frontend\linux\my_application.cc                                               | C++      |         74 |         11 |         20 |        105 |
| c:\Users\DeRep\my_app\Frontend\linux\my_application.h                                                | C++      |          7 |          7 |          5 |         19 |
| c:\Users\DeRep\my_app\Frontend\macos\RunnerTests\RunnerTests.swift                                   | Swift    |          7 |          2 |          4 |         13 |
| c:\Users\DeRep\my_app\Frontend\macos\Runner\AppDelegate.swift                                        | Swift    |          8 |          0 |          2 |         10 |
| c:\Users\DeRep\my_app\Frontend\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json         | JSON     |         68 |          0 |          1 |         69 |
| c:\Users\DeRep\my_app\Frontend\macos\Runner\Base.lproj\MainMenu.xib                                  | XML      |        343 |          0 |          1 |        344 |
| c:\Users\DeRep\my_app\Frontend\macos\Runner\MainFlutterWindow.swift                                  | Swift    |         12 |          0 |          4 |         16 |
| c:\Users\DeRep\my_app\Frontend\pubspec.yaml                                                          | YAML     |         57 |         59 |         22 |        138 |
| c:\Users\DeRep\my_app\Frontend\test\widget_test.dart                                                 | Dart     |         14 |         10 |          7 |         31 |
| c:\Users\DeRep\my_app\Frontend\web\index.html                                                        | HTML     |         38 |         16 |          6 |         60 |
| c:\Users\DeRep\my_app\Frontend\web\manifest.json                                                     | JSON     |         35 |          0 |          1 |         36 |
| c:\Users\DeRep\my_app\Frontend\windows\README.md                                                     | Markdown |         10 |          0 |          7 |         17 |
| c:\Users\DeRep\my_app\Frontend\windows\analysis_options.yaml                                         | YAML     |          3 |         22 |          4 |         29 |
| c:\Users\DeRep\my_app\Frontend\windows\ios\RunnerTests\RunnerTests.swift                             | Swift    |          7 |          2 |          4 |         13 |
| c:\Users\DeRep\my_app\Frontend\windows\ios\Runner\AppDelegate.swift                                  | Swift    |         12 |          0 |          2 |         14 |
| c:\Users\DeRep\my_app\Frontend\windows\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json   | JSON     |        122 |          0 |          1 |        123 |
| c:\Users\DeRep\my_app\Frontend\windows\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json | JSON     |         23 |          0 |          1 |         24 |
| c:\Users\DeRep\my_app\Frontend\windows\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md     | Markdown |          3 |          0 |          2 |          5 |
| c:\Users\DeRep\my_app\Frontend\windows\ios\Runner\Base.lproj\LaunchScreen.storyboard                 | XML      |         36 |          1 |          1 |         38 |
| c:\Users\DeRep\my_app\Frontend\windows\ios\Runner\Base.lproj\Main.storyboard                         | XML      |         25 |          1 |          1 |         27 |
| c:\Users\DeRep\my_app\Frontend\windows\ios\Runner\Runner-Bridging-Header.h                           | C++      |          1 |          0 |          1 |          2 |
| c:\Users\DeRep\my_app\Frontend\windows\lib\main.dart                                                 | Dart     |         60 |         54 |         12 |        126 |
| c:\Users\DeRep\my_app\Frontend\windows\linux\main.cc                                                 | C++      |          5 |          0 |          2 |          7 |
| c:\Users\DeRep\my_app\Frontend\windows\linux\my_application.cc                                       | C++      |         74 |         11 |         20 |        105 |
| c:\Users\DeRep\my_app\Frontend\windows\linux\my_application.h                                        | C++      |          7 |          7 |          5 |         19 |
| c:\Users\DeRep\my_app\Frontend\windows\macos\RunnerTests\RunnerTests.swift                           | Swift    |          7 |          2 |          4 |         13 |
| c:\Users\DeRep\my_app\Frontend\windows\macos\Runner\AppDelegate.swift                                | Swift    |          8 |          0 |          2 |         10 |
| c:\Users\DeRep\my_app\Frontend\windows\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json | JSON     |         68 |          0 |          1 |         69 |
| c:\Users\DeRep\my_app\Frontend\windows\macos\Runner\Base.lproj\MainMenu.xib                          | XML      |        343 |          0 |          1 |        344 |
| c:\Users\DeRep\my_app\Frontend\windows\macos\Runner\MainFlutterWindow.swift                          | Swift    |         12 |          0 |          4 |         16 |
| c:\Users\DeRep\my_app\Frontend\windows\pubspec.yaml                                                  | YAML     |         16 |         60 |         15 |         91 |
| c:\Users\DeRep\my_app\Frontend\windows\runner\flutter_window.cpp                                     | C++      |         49 |          7 |         16 |         72 |
| c:\Users\DeRep\my_app\Frontend\windows\runner\flutter_window.h                                       | C++      |         20 |          5 |          9 |         34 |
| c:\Users\DeRep\my_app\Frontend\windows\runner\main.cpp                                               | C++      |         30 |          4 |         10 |         44 |
| c:\Users\DeRep\my_app\Frontend\windows\runner\resource.h                                             | C++      |          9 |          6 |          2 |         17 |
| c:\Users\DeRep\my_app\Frontend\windows\runner\utils.cpp                                              | C++      |         54 |          2 |         10 |         66 |
| c:\Users\DeRep\my_app\Frontend\windows\runner\utils.h                                                | C++      |          8 |          6 |          6 |         20 |
| c:\Users\DeRep\my_app\Frontend\windows\runner\win32_window.cpp                                       | C++      |        210 |         24 |         55 |        289 |
| c:\Users\DeRep\my_app\Frontend\windows\runner\win32_window.h                                         | C++      |         48 |         31 |         24 |        103 |
| c:\Users\DeRep\my_app\Frontend\windows\test\widget_test.dart                                         | Dart     |         14 |         10 |          7 |         31 |
| c:\Users\DeRep\my_app\Frontend\windows\web\index.html                                                | HTML     |         38 |         16 |          6 |         60 |
| c:\Users\DeRep\my_app\Frontend\windows\web\manifest.json                                             | JSON     |         35 |          0 |          1 |         36 |
| c:\Users\DeRep\my_app\Frontend\windows\windows\runner\flutter_window.cpp                             | C++      |         49 |          7 |         16 |         72 |
| c:\Users\DeRep\my_app\Frontend\windows\windows\runner\flutter_window.h                               | C++      |         20 |          5 |          9 |         34 |
| c:\Users\DeRep\my_app\Frontend\windows\windows\runner\main.cpp                                       | C++      |         30 |          4 |         10 |         44 |
| c:\Users\DeRep\my_app\Frontend\windows\windows\runner\resource.h                                     | C++      |          9 |          6 |          2 |         17 |
| c:\Users\DeRep\my_app\Frontend\windows\windows\runner\utils.cpp                                      | C++      |         54 |          2 |         10 |         66 |
| c:\Users\DeRep\my_app\Frontend\windows\windows\runner\utils.h                                        | C++      |          8 |          6 |          6 |         20 |
| c:\Users\DeRep\my_app\Frontend\windows\windows\runner\win32_window.cpp                               | C++      |        210 |         24 |         55 |        289 |
| c:\Users\DeRep\my_app\Frontend\windows\windows\runner\win32_window.h                                 | C++      |         48 |         31 |         24 |        103 |
| Total                                                                                                |          |      2,685 |        488 |        460 |      3,633 |
+------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
